time,lat,long,GPS MSL,SVs
689.207,35.34529,-117.81464,2809.3862,28
689.379,35.345272,-117.81463,2802.7961,28
689.585,35.345254,-117.81461,2796.1411,28
689.772,35.345237,-117.8146,2789.4431,28
690.021,35.345219,-117.81459,2782.8142,28
690.177,35.3452,-117.81457,2776.1621,28
690.362,35.34518,-117.81456,2769.3821,28
690.564,35.345161,-117.81454,2762.5942,28
690.76,35.345141,-117.81452,2755.8042,28
691.002,35.34512,-117.8145,2749.0251,28
691.165,35.345101,-117.81448,2742.2781,28
691.352,35.345083,-117.81446,2735.4761,28
691.553,35.345066,-117.81444,2728.6401,28
691.733,35.345048,-117.81442,2721.8271,28
691.999,35.34503,-117.8144,2715.0562,28
692.157,35.345012,-117.81438,2708.3411,28
692.337,35.344994,-117.81436,2701.6892,28
692.533,35.344978,-117.81434,2695.0471,28
692.717,35.344963,-117.81432,2688.437,28
692.95,35.344947,-117.8143,2681.8521,27
693.112,35.344932,-117.81428,2675.3091,27
693.315,35.344917,-117.81426,2668.821,27
693.509,35.344904,-117.81424,2662.3352,28
693.697,35.344892,-117.81422,2655.8191,28
693.957,35.34488,-117.8142,2649.3262,28
694.123,35.344867,-117.81418,2642.8572,28
694.298,35.344855,-117.81416,2636.3982,28
694.497,35.344843,-117.81413,2629.9702,28
694.691,35.344831,-117.81411,2623.5601,28
694.943,35.34482,-117.81409,2617.1331,28
695.108,35.344808,-117.81406,2610.6702,28
695.286,35.344798,-117.81404,2604.1492,28
695.487,35.344787,-117.81402,2597.6121,28
695.68,35.344777,-117.814,2591.0552,28
695.934,35.344767,-117.81398,2584.4651,28
696.092,35.344758,-117.81396,2577.843,28
696.275,35.344748,-117.81394,2571.2231,28
696.475,35.344739,-117.81392,2564.5791,28
696.672,35.344731,-117.81391,2557.8831,28
696.907,35.344722,-117.81389,2551.156,28
697.068,35.344713,-117.81387,2544.4492,28
697.256,35.344703,-117.81386,2537.7842,28
697.457,35.344693,-117.81384,2531.125,28
697.657,35.344684,-117.81383,2524.4622,28
697.9,35.344674,-117.81381,2517.8281,28
698.068,35.344665,-117.81379,2511.2122,28
698.251,35.344657,-117.81378,2504.623,28
698.438,35.344649,-117.81376,2498.05,28
698.635,35.344641,-117.81374,2491.5022,28
698.874,35.344632,-117.81373,2485.0051,28
699.034,35.344623,-117.81371,2478.5271,28
699.228,35.344615,-117.81369,2472.0281,28
699.423,35.344609,-117.81367,2465.478,28
699.622,35.344605,-117.81366,2458.8591,28
699.862,35.344602,-117.81364,2452.2522,28
700.027,35.3446,-117.81362,2445.6682,28
700.213,35.344596,-117.81361,2439.0581,28
700.406,35.344592,-117.81359,2432.4431,28
700.606,35.344587,-117.81357,2425.8572,28
700.836,35.344581,-117.81356,2419.2871,27
701.007,35.344577,-117.81354,2412.7241,27
701.209,35.344573,-117.81352,2406.1382,27
701.394,35.34457,-117.8135,2399.4541,28
701.599,35.344568,-117.81349,2392.6531,28
701.838,35.344566,-117.81347,2385.8171,28
701.999,35.344563,-117.81345,2378.9822,28
702.182,35.344561,-117.81344,2372.083,28
702.374,35.34456,-117.81342,2365.1001,28
702.583,35.344559,-117.81341,2357.9712,28
702.809,35.344558,-117.81339,2350.7642,28
702.973,35.344557,-117.81337,2343.4282,28
703.18,35.344558,-117.81335,2335.9202,28
703.366,35.344561,-117.81334,2328.3181,28
703.571,35.344566,-117.81332,2320.592,28
703.798,35.344572,-117.81329,2312.7561,28
703.967,35.344579,-117.81327,2304.9111,28
704.159,35.344585,-117.81325,2296.8682,28
704.354,35.344591,-117.81323,2288.5242,28
704.557,35.344597,-117.81321,2279.9431,28
704.779,35.3446,-117.8132,2271.0391,28
704.951,35.344601,-117.81318,2261.8921,28
705.144,35.344602,-117.81316,2252.5801,28
705.341,35.344602,-117.81315,2243.4102,28
705.54,35.3446,-117.81313,2234.49,28
705.755,35.344598,-117.81312,2225.6521,28
705.938,35.344597,-117.81311,2216.688,28
706.133,35.344596,-117.8131,2207.6272,28
706.331,35.344596,-117.81309,2198.5042,28
706.526,35.344599,-117.81308,2189.0791,28
706.739,35.344602,-117.81307,2179.271,27
706.929,35.344605,-117.81305,2169.4551,27
707.117,35.344607,-117.81303,2159.8792,28
707.314,35.344609,-117.81301,2150.5762,28
707.513,35.344612,-117.81299,2141.6851,28
707.741,35.344614,-117.81297,2133.1641,28
707.908,35.344615,-117.81295,2125.0281,28
708.116,35.344614,-117.81292,2117.114,28
708.306,35.344612,-117.81289,2109.436,28
708.505,35.34461,-117.81287,2101.9822,28
